 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
 69   12 14  11 49  11 29  11 14  11  0  10 49  10 29  10 12   9 56   9 40   9 24   9  4   8 53   8 40   8 40   8 34   8 28   8 22   8 15   8  7   7 58   7 48   7 37   7 25   7 10   6 53   6 32   6  4
 70   13 21  12 52  12 30  12 12  11 58  11 45  11 23  11  4  10 46  10 28  10 10   9 48   9 35   9 21   9 21   9 14   9  7   9  0   8 51   8 42   8 32   8 21   8  8   7 53   7 35   7 13   6 45   6  4
 71   14 21  13 50  13 27  13  9  12 53  12 40  12 17  11 57  11 38  11 20  11  0  10 37  10 24  10  9  10  9  10  2   9 54   9 46   9 37   9 28   9 17   9  4   8 50   8 34   8 14   7 49   7 14   6 12
 72   15 11  14 41  14 19  14  1  13 46  13 33  13 10  12 51  12 33  12 15  11 55  11 33  11 19  11  4  11  4  10 57  10 50  10 42  10 33  10 24  10 13  10  1   9 47   9 30   9 10   8 46   8 11   7 11
 73   15 50  15 24  15  4  14 48  14 35  14 23  14  2  13 45  13 28  13 11  12 53  12 33  12 21  12  7  12  7  12  1  11 54  11 47  11 39  11 30  11 20  11 10  10 57  10 43  10 26  10  5   9 38   8 59
 74   16 20  15 59  15 43  15 30  15 19  15  9  14 52  14 37  14 23  14  9  13 54  13 37  13 27  13 16  13 16  13 10  13  5  12 59  12 52  12 45  12 37  12 29  12 19  12  7  11 54  11 39  11 20  10 56
 75   16 43  16 29  16 17  16  8  15 59  15 52  15 40  15 29  15 18  15  8  14 57  14 44  14 36  14 28  14 28  14 24  14 20  14 16  14 11  14  6  14  0  13 54  13 47  13 39  13 30  13 20  13  8  12 53
 76   17  3  16 54  16 48  16 42  16 37  16 33  16 25  16 19  16 12  16  6  15 59  15 52  15 47  15 42  15 42  15 40  15 38  15 35  15 32  15 29  15 26  15 23  15 19  15 14  15  9  15  4  14 57  14 49
 77   17 20  17 18  17 16  17 14  17 13  17 12  17 10  17  8  17  6  17  4  17  3  17  1  16 59  16 58  16 58  16 58  16 57  16 56  16 56  16 55  16 54  16 53  16 52  16 51  16 50  16 48  16 47  16 45
 78   17 37  17 41  17 44  17 46  17 49  17 51  17 54  17 57  18  0  18  3  18  6  18 10  18 12  18 15  18 15  18 16  18 17  18 18  18 20  18 21  18 23  18 25  18 26  18 29  18 31  18 34  18 37  18 41
 79   17 56  18  5  18 13  18 20  18 26  18 31  18 40  18 48  18 55  19  3  19 11  19 20  19 26  19 32  19 32  19 35  19 38  19 41  19 44  19 48  19 52  19 57  20  2  20  7  20 14  20 21  20 29  20 39
 80   18 17  18 33  18 46  18 56  19  6  19 14  19 28  19 40  19 52  20  3  20 16  20 31  20 39  20 49  20 49  20 53  20 58  21  3  21  8  21 14  21 21  21 28  21 36  21 45  21 56  22  8  22 23  22 41
 81   18 44  19  6  19 23  19 38  19 50  20  0  20 18  20 34  20 50  21  5  21 21  21 40  21 51  22  4  22  4  22  9  22 15  22 22  22 29  22 37  22 46  22 56  23  7  23 20  23 35  23 53  ** **  ** **
 82   19 20  19 47  20  7  20 24  20 39  20 51  21 12  21 31  21 48  22  6  22 24  22 46  22 59  23 14  23 14  23 20  23 27  23 35  23 44  23 53  ** **  ** **  ** **  ** **  ** **  ** **   0 15   0 46
 83   20  6  20 36  20 59  21 17  21 32  21 46  22  8  22 28  22 46  23  5  23 25  23 48  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  3   0 15   0 29   0 44   1  3   1 27   1 59   2 50
