                                SIDEREAL TIME                                
     
                               Astrografo ROA                                
               Location:     0°00'00.0",   0°00'00.0",     0m                
                 (Longitude referred to Ephemeris meridian)                  
     
                              Ephemeris                Local         Equation
     Julian Date            Sidereal Time          Sidereal Time       of the
         (TT)                  Mean    App.           Mean    App.   Equinoxes
          d              h  m   s       s       h  m   s       s        s
   2454857.888889       17 43 12.1991 13.0915  17 43 12.1991 13.0915  +0.8924
   2454857.889583       17 44 12.3634 13.2558  17 44 12.3634 13.2558  +0.8924
   2454857.890278       17 45 12.5277 13.4201  17 45 12.5277 13.4201  +0.8924
   2454857.890972       17 46 12.6919 13.5844  17 46 12.6919 13.5844  +0.8924
   2454857.891667       17 47 12.8562 13.7486  17 47 12.8562 13.7486  +0.8924
   2454857.892361       17 48 13.0205 13.9129  17 48 13.0205 13.9129  +0.8924
   2454857.893056       17 49 13.1848 14.0772  17 49 13.1848 14.0772  +0.8924
   2454857.893750       17 50 13.3490 14.2414  17 50 13.3490 14.2414  +0.8924
   2454857.894444       17 51 13.5133 14.4057  17 51 13.5133 14.4057  +0.8924
   2454857.895139       17 52 13.6776 14.5700  17 52 13.6776 14.5700  +0.8924
   2454857.895833       17 53 13.8419 14.7343  17 53 13.8419 14.7343  +0.8924
   2454857.896528       17 54 14.0062 14.8986  17 54 14.0062 14.8986  +0.8924
   2454857.897222       17 55 14.1704 15.0628  17 55 14.1704 15.0628  +0.8924
   2454857.897917       17 56 14.3347 15.2271  17 56 14.3347 15.2271  +0.8924
   2454857.898611       17 57 14.4990 15.3914  17 57 14.4990 15.3914  +0.8924
   2454857.899306       17 58 14.6632 15.5557  17 58 14.6632 15.5557  +0.8924
   2454857.900000       17 59 14.8275 15.7199  17 59 14.8275 15.7199  +0.8924
   2454857.900694       18 00 14.9918 15.8842  18 00 14.9918 15.8842  +0.8924
